TRD_DD,ISU_SRT_CD,ADJ_FACTOR
20250814,000020,
20250818,000020,1
20250814,000040,
20250818,000040,1
20250814,000050,
20250818,000050,1
20250814,000070,
20250818,000070,1
20250814,000075,
20250818,000075,1
20250814,000080,
20250818,000080,1
20250814,000087,
20250818,000087,1
20250814,000100,
20250818,000100,1
20250814,000105,
20250818,000105,1
20250814,000120,
20250818,000120,1
20250814,000140,
20250818,000140,1
20250814,000145,
20250818,000145,1
20250814,000150,
20250818,000150,1
20250814,000155,
20250818,000155,1
20250814,000157,
20250818,000157,1
20250814,000180,
20250818,000180,1
20250814,000210,
20250818,000210,1
20250814,000215,
20250818,000215,1
20250814,000220,
20250818,000220,1
20250814,000225,
20250818,000225,1
20250814,000227,
20250818,000227,1
20250814,000230,
20250818,000230,1
20250814,000240,
20250818,000240,1
20250814,000250,
20250818,000250,1
20250814,000270,
20250818,000270,1
20250814,000300,
20250818,000300,1
20250814,000320,
20250818,000320,1
20250814,000325,
20250818,000325,1
20250814,000370,
20250818,000370,1
20250814,000390,
20250818,000390,1
20250814,000400,
20250818,000400,1
20250814,000430,
20250818,000430,1
20250814,000440,
20250818,000440,1
20250814,000480,
20250818,000480,1
20250814,000490,
20250818,000490,1
20250814,0004Y0,
20250818,0004Y0,1
20250814,000500,
20250818,000500,1
20250814,000520,
20250818,000520,1
20250814,000540,
20250818,000540,1
20250814,000545,
20250818,000545,1
20250814,000590,
20250818,000590,1
20250814,000640,
20250818,000640,1
20250814,000650,
20250818,000650,1
20250814,000660,
20250818,000660,1
20250814,000670,
20250818,000670,1
20250814,000680,
20250818,000680,1
20250814,000700,
20250818,000700,1
20250814,000720,
20250818,000720,1
20250814,000725,
20250818,000725,1
20250814,000760,
20250818,000760,1
20250814,000810,
20250818,000810,1
20250814,000815,
20250818,000815,1
20250814,000850,
20250818,000850,1
20250814,000860,
20250818,000860,1
20250814,000880,
20250818,000880,1
20250814,00088K,
20250818,00088K,1
20250814,000890,
20250818,000890,1
20250814,000910,
20250818,000910,1
20250814,000950,
20250818,000950,1
20250814,000970,
20250818,000970,1
20250814,000990,
20250818,000990,1
20250814,001000,
20250818,001000,1
20250814,001020,
20250818,001020,1
20250814,001040,
20250818,001040,1
20250814,001045,
20250818,001045,1
20250814,00104K,
20250818,00104K,1
20250814,001060,
20250818,001060,1
20250814,001065,
20250818,001065,1
20250814,001067,
20250818,001067,1
20250814,001070,
20250818,001070,1
20250814,001080,
20250818,001080,1
20250814,001120,
20250818,001120,1
20250814,001130,
20250818,001130,1
20250814,001140,
20250818,001140,1
20250814,001200,
20250818,001200,1
20250814,001210,
20250818,001210,1
20250814,001230,
20250818,001230,1
20250814,001250,
20250818,001250,1
20250814,001260,
20250818,001260,1
20250814,001270,
20250818,001270,1
20250814,001275,
20250818,001275,1
20250814,001290,
20250818,001290,1
20250814,001340,
20250818,001340,1
20250814,001360,
20250818,001360,1
20250814,001380,
20250818,001380,1
20250814,001390,
20250818,001390,1
20250814,001420,
20250818,001420,1
20250814,001430,
20250818,001430,1
20250814,001440,
20250818,001440,1
20250814,001450,
20250818,001450,1
20250814,001460,
20250818,001460,1
20250814,001465,
20250818,001465,1
20250814,001470,
20250818,001470,1
20250814,001500,
