TRD_DD,ISU_SRT_CD,ISU_ABBRV,BAS_PRC,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,ACC_TRDVOL,ACC_TRDVAL,FLUC_TP
20250814,000020,동화약품,6500,6540,40,0.62,34277,223055745,1
20250814,000040,KR모터스,561,550,-11,-1.96,617488,341010305,2
20250814,000050,경방,7280,7250,-30,-0.41,22861,164966870,2
20250814,000070,삼양홀딩스,83500,82500,"-1,000",-1.20,14685,1218919600,2
20250814,000075,삼양홀딩스우,83500,83500,0,0.00,0,0,3
20250814,000080,하이트진로,19520,19490,-30,-0.15,190957,3727701530,2
20250814,000087,하이트진로2우B,15640,15600,-40,-0.26,1016,15788435,2
20250814,000100,유한양행,113400,114400,"1,000",0.88,439097,50506608800,1
20250814,000105,유한양행우,104200,104700,500,0.48,2451,257361900,1
20250814,000120,CJ대한통운,83400,83100,-300,-0.36,69678,5800146450,2
20250814,000140,하이트진로홀딩스,10190,10180,-10,-0.10,18684,189591675,2
20250814,000145,하이트진로홀딩스우,12370,12300,-70,-0.57,185,2274100,2
20250814,000150,두산,563000,555000,"-8,000",-1.42,131705,72750127000,2
20250814,000155,두산우,363000,358000,"-5,000",-1.38,21841,7759668000,2
20250814,000157,두산2우B,377500,370000,"-7,500",-1.99,2129,790833000,2
20250814,000180,성창기업지주,1644,1640,-4,-0.24,21209,34630451,2
20250814,000210,DL,38950,38850,-100,-0.26,93199,3624180375,2
20250814,000215,DL우,22400,22350,-50,-0.22,3904,86952950,2
20250814,000220,유유제약,4450,4445,-5,-0.11,21207,94128155,2
20250814,000225,유유제약1우,4960,4960,0,0.00,174,862180,3
20250814,000227,유유제약2우B,10520,10520,0,0.00,139,1463490,3
20250814,000230,일동홀딩스,8590,8560,-30,-0.35,20336,173508880,2
20250814,000240,한국앤컴퍼니,23800,21850,"-1,950",-8.19,265139,5914663350,2
20250814,000250,삼천당제약,186100,185200,-900,-0.48,203934,38103765950,2
20250814,000270,기아,103200,103700,500,0.48,574716,59652479350,1
20250814,000300,DH오토넥스,1984,1984,0,0.00,0,0,3
20250814,000320,노루홀딩스,25950,26350,400,1.54,22239,584359650,1
20250814,000325,노루홀딩스우,31900,31700,-200,-0.63,206,6540450,2
20250814,000370,한화손해보험,5940,5760,-180,-3.03,475713,2753725035,2
20250814,000390,삼화페인트,6170,6120,-50,-0.81,205130,1280956440,2
20250814,000400,롯데손해보험,1709,1700,-9,-0.53,212771,358329672,2
20250814,000430,대원강업,3765,3810,45,1.20,267870,1016243020,1
20250814,000440,중앙에너비스,15040,14920,-120,-0.80,6563,98456720,2
20250814,000480,CR홀딩스,5230,5240,10,0.19,5938,31018720,1
20250814,000490,대동,10650,10640,-10,-0.09,85541,910266945,2
20250814,0004Y0,디비금융제14호스팩,1991,1990,-1,-0.05,20940,41684583,2
20250814,000500,가온전선,64500,66000,"1,500",2.33,72487,4793950550,1
20250814,000520,삼일제약,10270,10250,-20,-0.19,78102,804975190,2
20250814,000540,흥국화재,4240,4300,60,1.42,68620,293251105,1
20250814,000545,흥국화재우,8180,8440,260,3.18,23789,197357800,1
20250814,000590,CS홀딩스,86400,84800,"-1,600",-1.85,168,14322600,2
20250814,000640,동아쏘시오홀딩스,112600,110300,"-2,300",-2.04,14028,1559696700,2
20250814,000650,천일고속,42000,41850,-150,-0.36,85,3559200,2
20250814,000660,SK하이닉스,278000,276500,"-1,500",-0.54,2101050,575810038250,2
20250814,000670,영풍,41450,42000,550,1.33,21475,892627075,1
20250814,000680,LS네트웍스,3970,3945,-25,-0.63,183463,732506872,2
20250814,000700,유수홀딩스,5890,5820,-70,-1.19,43439,253917885,2
20250814,000720,현대건설,63900,63800,-100,-0.16,809953,51743460500,2
20250814,000725,현대건설우,55700,55800,100,0.18,1827,102024150,1
20250814,000760,이화산업,12270,12380,110,0.90,1348,16816060,1
20250814,000810,삼성화재,438500,441000,"2,500",0.57,99685,43739295250,1
20250814,000815,삼성화재우,337500,339000,"1,500",0.44,5189,1762238500,1
20250814,000850,화천기공,31650,31450,-200,-0.63,1682,52883825,2
20250814,000860,강남제비스코,12250,12170,-80,-0.65,23817,289636170,2
20250814,000880,한화,83200,83900,700,0.84,332245,27886927900,1
20250814,00088K,한화3우B,36100,36300,200,0.55,32087,1164986125,1
20250814,000890,보해양조,447,450,3,0.67,388299,173630669,1
20250814,000910,유니온,4865,4890,25,0.51,49630,242081975,1
20250814,000950,전방,31800,31550,-250,-0.79,2832,90202350,2
20250814,000970,한국주철관,7140,7220,80,1.12,433893,3124756045,1
20250814,000990,DB하이텍,47300,46600,-700,-1.48,117061,5458552675,2
20250814,001000,신라섬유,1902,1989,87,4.57,877517,1718243108,1
20250814,001020,페이퍼코리아,744,748,4,0.54,43992,33114086,1
20250814,001040,CJ,160600,144500,"-16,100",-10.02,403525,60519551500,2
20250814,001045,CJ우,88800,85100,"-3,700",-4.17,3682,320277300,2
